p,n_av_lanes,base_total_time,av_total_time,time_saving,time_saving_percent
0.0,1,4231.037388862195,4231.037388862195,0.0,0.0
0.0,2,4231.037388862195,4231.037388862195,0.0,0.0
0.0,3,4231.037388862195,4231.037388862195,0.0,0.0
0.0,4,4231.037388862195,4231.037388862195,0.0,0.0
0.0,5,4231.037388862195,4231.037388862195,0.0,0.0
0.3,1,4020.674761752186,4020.674761752186,0.0,0.0
0.3,2,4020.674761752186,4020.674761752186,0.0,0.0
0.3,3,4020.674761752186,4020.674761752186,0.0,0.0
0.3,4,4020.674761752186,4020.674761752186,0.0,0.0
0.3,5,4020.674761752186,4020.674761752186,0.0,0.0
0.5,1,3941.022126008105,3941.022126008105,0.0,0.0
0.5,2,3941.022126008105,3941.022126008105,0.0,0.0
0.5,3,3941.022126008105,3941.022126008105,0.0,0.0
0.5,4,3941.022126008105,3941.022126008105,0.0,0.0
0.5,5,3941.022126008105,3941.022126008105,0.0,0.0
0.7,1,3887.709337271602,3887.709337271602,0.0,0.0
0.7,2,3887.709337271602,3887.709337271602,0.0,0.0
0.7,3,3887.709337271602,3887.709337271602,0.0,0.0
0.7,4,3887.709337271602,3887.709337271602,0.0,0.0
0.7,5,3887.709337271602,3887.709337271602,0.0,0.0
1.0,1,3836.849893347207,3836.849893347207,0.0,0.0
1.0,2,3836.849893347207,3836.849893347207,0.0,0.0
1.0,3,3836.849893347207,3836.849893347207,0.0,0.0
1.0,4,3836.849893347207,3836.849893347207,0.0,0.0
1.0,5,3836.849893347207,3836.849893347207,0.0,0.0
