p,n_lanes,av_lane_edges,time_saving,time_saving_pct,construction_cost,annual_benefit,npv_net,bc_ratio,avg_lane_length,base_total_time
0.0,1,"[('5_163.36', '5_163.48')]",0.0,0.0,193120.79999996157,0.0,-193120.79999996157,0.0,0.19312079999996157,
0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.1473008229987
0.3,1,"[('5_163.36', '5_163.48')]",0.0,0.0,193120.79999996157,0.0,-193120.79999996157,0.0,0.19312079999996157,
0.3,0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,4248.68965578205
0.5,1,"[('5_163.36', '5_163.48')]",0.0,0.0,193120.79999996157,0.0,-193120.79999996157,0.0,0.19312079999996157,
0.5,0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,4412.821587856574
0.7,1,"[('5_163.36', '5_163.48')]",0.0,0.0,193120.79999996157,0.0,-193120.79999996157,0.0,0.19312079999996157,
0.7,0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,4588.320092800149
1.0,1,"[('5_163.36', '5_163.48')]",0.0,0.0,193120.79999996157,0.0,-193120.79999996157,0.0,0.19312079999996157,
1.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,4865.390857084748
