,R5_111.43,R5_131.35,R5_152.72,R5_164.22,R5_167.8,R5_181.31,R90_2.79,R90_11.64,R405_0.0,R405_2.26,R405_10.93,R405_14.83,R405_30.21,R520_0.0,R520_6.93,R5_100.93,R5_218.33,R90_1.94,R90_25.37,R405_30.32,R520_12.83,R5_104.81,R5_127.13,R5_133.66
R5_104.81,4244.042732196206,6777.420483685304,253.50996376811594,7434.996581506522,7434.996581506522,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,15921.179425221235,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,0.0,0.0
R5_111.43,0.0,1712.1790317008006,253.50996376811594,3133.25859373344,3133.25859373344,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,8331.642090388214,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,47.186170636776666,0.0
R5_127.13,253.50996376811594,8436.980808230226,253.50996376811594,10963.789480887204,10963.789480887204,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,18869.774768576004,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,379.98151676282527
R5_131.35,253.50996376811594,0.0,253.50996376811594,2108.7523672633324,2108.7523672633324,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,9279.276445134068,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0
R5_133.66,253.50996376811594,253.50996376811594,253.50996376811594,10369.768240174575,10369.768240174575,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,18537.06424520017,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0
R5_152.72,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,8697.0206312893,253.50996376811594,253.50996376811594,253.50996376811594,15838.147772951472,253.50996376811594,253.50996376811594,253.50996376811594
R5_164.22,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,8990.457396180309,253.50996376811594,253.50996376811594,253.50996376811594,15838.147772951472,253.50996376811594,253.50996376811594,253.50996376811594
R5_167.8,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,8713.842808667056,253.50996376811594,253.50996376811594,253.50996376811594,15838.147772951472,253.50996376811594,253.50996376811594,253.50996376811594
R5_181.31,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,8713.842808667056,253.50996376811594,253.50996376811594,253.50996376811594,15838.147772951472,253.50996376811594,253.50996376811594,253.50996376811594
R90_2.79,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,5474.135931047236,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R90_11.64,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R405_0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,5474.135931047236,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
