Origin,Destination,Estimated_Flow
R5_104.81,R5_111.43,4244.042732196206
R5_104.81,R5_131.35,6777.420483685304
R5_104.81,R5_152.72,253.50996376811594
R5_104.81,R5_164.22,7434.996581506522
R5_104.81,R5_167.8,7434.996581506522
R5_104.81,R5_181.31,253.50996376811594
R5_104.81,R90_2.79,253.50996376811594
R5_104.81,R90_11.64,253.50996376811594
R5_104.81,R405_0.0,253.50996376811594
R5_104.81,R405_2.26,253.50996376811594
R5_104.81,R405_10.93,253.50996376811594
R5_104.81,R405_14.83,253.50996376811594
R5_104.81,R405_30.21,253.50996376811594
R5_104.81,R520_0.0,253.50996376811594
R5_104.81,R520_6.93,253.50996376811594
R5_104.81,R5_100.93,253.50996376811594
R5_104.81,R5_218.33,15921.179425221235
R5_104.81,R90_1.94,253.50996376811594
R5_104.81,R90_25.37,253.50996376811594
R5_104.81,R405_30.32,253.50996376811594
R5_104.81,R520_12.83,253.50996376811594
R5_111.43,R5_104.81,253.50996376811594
R5_111.43,R5_127.13,47.186170636776666
R5_111.43,R5_131.35,1712.1790317008006
R5_111.43,R5_152.72,253.50996376811594
R5_111.43,R5_164.22,3133.25859373344
R5_111.43,R5_167.8,3133.25859373344
R5_111.43,R5_181.31,253.50996376811594
R5_111.43,R90_2.79,253.50996376811594
R5_111.43,R90_11.64,253.50996376811594
R5_111.43,R405_0.0,253.50996376811594
R5_111.43,R405_2.26,253.50996376811594
R5_111.43,R405_10.93,253.50996376811594
R5_111.43,R405_14.83,253.50996376811594
R5_111.43,R405_30.21,253.50996376811594
R5_111.43,R520_0.0,253.50996376811594
R5_111.43,R520_6.93,253.50996376811594
R5_111.43,R5_100.93,253.50996376811594
R5_111.43,R5_218.33,8331.642090388214
R5_111.43,R90_1.94,253.50996376811594
R5_111.43,R90_25.37,253.50996376811594
R5_111.43,R405_30.32,253.50996376811594
R5_111.43,R520_12.83,253.50996376811594
R5_127.13,R5_104.81,253.50996376811594
R5_127.13,R5_111.43,253.50996376811594
R5_127.13,R5_131.35,8436.980808230226
R5_127.13,R5_133.66,379.98151676282527
R5_127.13,R5_152.72,253.50996376811594
R5_127.13,R5_164.22,10963.789480887204
R5_127.13,R5_167.8,10963.789480887204
R5_127.13,R5_181.31,253.50996376811594
R5_127.13,R90_2.79,253.50996376811594
R5_127.13,R90_11.64,253.50996376811594
R5_127.13,R405_0.0,253.50996376811594
R5_127.13,R405_2.26,253.50996376811594
R5_127.13,R405_10.93,253.50996376811594
R5_127.13,R405_14.83,253.50996376811594
R5_127.13,R405_30.21,253.50996376811594
R5_127.13,R520_0.0,253.50996376811594
R5_127.13,R520_6.93,253.50996376811594
R5_127.13,R5_100.93,253.50996376811594
R5_127.13,R5_218.33,18869.774768576004
R5_127.13,R90_1.94,253.50996376811594
R5_127.13,R90_25.37,253.50996376811594
R5_127.13,R405_30.32,253.50996376811594
R5_127.13,R520_12.83,253.50996376811594
R5_131.35,R5_104.81,253.50996376811594
R5_131.35,R5_111.43,253.50996376811594
R5_131.35,R5_127.13,253.50996376811594
R5_131.35,R5_152.72,253.50996376811594
R5_131.35,R5_164.22,2108.7523672633324
R5_131.35,R5_167.8,2108.7523672633324
R5_131.35,R5_181.31,253.50996376811594
R5_131.35,R90_2.79,253.50996376811594
R5_131.35,R90_11.64,253.50996376811594
R5_131.35,R405_0.0,253.50996376811594
R5_131.35,R405_2.26,253.50996376811594
R5_131.35,R405_10.93,253.50996376811594
R5_131.35,R405_14.83,253.50996376811594
R5_131.35,R405_30.21,253.50996376811594
R5_131.35,R520_0.0,253.50996376811594
R5_131.35,R520_6.93,253.50996376811594
R5_131.35,R5_100.93,253.50996376811594
R5_131.35,R5_218.33,9279.276445134068
R5_131.35,R90_1.94,253.50996376811594
R5_131.35,R90_25.37,253.50996376811594
R5_131.35,R405_30.32,253.50996376811594
R5_131.35,R520_12.83,253.50996376811594
R5_133.66,R5_104.81,253.50996376811594
R5_133.66,R5_111.43,253.50996376811594
R5_133.66,R5_127.13,253.50996376811594
R5_133.66,R5_131.35,253.50996376811594
R5_133.66,R5_152.72,253.50996376811594
R5_133.66,R5_164.22,10369.768240174575
R5_133.66,R5_167.8,10369.768240174575
R5_133.66,R5_181.31,253.50996376811594
R5_133.66,R90_2.79,253.50996376811594
R5_133.66,R90_11.64,253.50996376811594
R5_133.66,R405_0.0,253.50996376811594
R5_133.66,R405_2.26,253.50996376811594
R5_133.66,R405_10.93,253.50996376811594
R5_133.66,R405_14.83,253.50996376811594
R5_133.66,R405_30.21,253.50996376811594
R5_133.66,R520_0.0,253.50996376811594
R5_133.66,R520_6.93,253.50996376811594
R5_133.66,R5_100.93,253.50996376811594
R5_133.66,R5_218.33,18537.06424520017
R5_133.66,R90_1.94,253.50996376811594
R5_133.66,R90_25.37,253.50996376811594
R5_133.66,R405_30.32,253.50996376811594
R5_133.66,R520_12.83,253.50996376811594
R5_152.72,R5_104.81,253.50996376811594
R5_152.72,R5_111.43,253.50996376811594
R5_152.72,R5_127.13,253.50996376811594
R5_152.72,R5_131.35,253.50996376811594
R5_152.72,R5_133.66,253.50996376811594
R5_152.72,R5_164.22,253.50996376811594
R5_152.72,R5_167.8,253.50996376811594
R5_152.72,R5_181.31,253.50996376811594
R5_152.72,R90_2.79,253.50996376811594
R5_152.72,R90_11.64,253.50996376811594
R5_152.72,R405_0.0,253.50996376811594
R5_152.72,R405_2.26,253.50996376811594
R5_152.72,R405_10.93,253.50996376811594
R5_152.72,R405_14.83,253.50996376811594
R5_152.72,R405_30.21,253.50996376811594
R5_152.72,R520_0.0,253.50996376811594
R5_152.72,R520_6.93,253.50996376811594
R5_152.72,R5_100.93,253.50996376811594
R5_152.72,R5_218.33,8697.0206312893
R5_152.72,R90_1.94,253.50996376811594
R5_152.72,R90_25.37,253.50996376811594
R5_152.72,R405_30.32,253.50996376811594
R5_152.72,R520_12.83,15838.147772951472
R5_164.22,R5_104.81,253.50996376811594
R5_164.22,R5_111.43,253.50996376811594
R5_164.22,R5_127.13,253.50996376811594
R5_164.22,R5_131.35,253.50996376811594
R5_164.22,R5_133.66,253.50996376811594
R5_164.22,R5_152.72,253.50996376811594
R5_164.22,R5_167.8,253.50996376811594
R5_164.22,R5_181.31,253.50996376811594
R5_164.22,R90_2.79,253.50996376811594
R5_164.22,R90_11.64,253.50996376811594
R5_164.22,R405_0.0,253.50996376811594
R5_164.22,R405_2.26,253.50996376811594
R5_164.22,R405_10.93,253.50996376811594
R5_164.22,R405_14.83,253.50996376811594
R5_164.22,R405_30.21,253.50996376811594
R5_164.22,R520_0.0,253.50996376811594
R5_164.22,R520_6.93,253.50996376811594
R5_164.22,R5_100.93,253.50996376811594
R5_164.22,R5_218.33,8990.457396180309
R5_164.22,R90_1.94,253.50996376811594
